,,,,,
,,,,,
,1. Lauf,2. Lauf,3. Lauf,,Cluster Node :west 7
sequentiell,571.539,571.975,573.249,,
1 Thread,634.380,637.183,637.148,,
2 Thread,320.687,320.437,319.497,,
3 Thread,228.630,226.945,229.588,,
4 Thread,178.344,172.653,180.404,,
5 Thread,146.994,147.572,147.284,,
6 Thread,127.649,128.631,127.024,,
7 Thread,114.126,114.361,114.400,,
8 Thread,105.730,105.085,104.546,,
9 Thread,98.935,98.528,98.112,,
10 Thread,91.847,92.322,92.701,,
11 Thread,88.153,87.981,87.139,,
12 Thread,84.940,84.886,84.673,,
,,,,,
,,,,,
Aufruf:./partdiff-posix $n 2 512 2 2 1024,,,$n = Anzahl der Threads,,